title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
Rent-a-Girlfriend Season 3,Finished Airing,12.0,PG-13 - Teens 13 or older,4455.0,1288,204931,1019,7.01,93664.0,"Comedy, Romance","Adult Cast, Harem",Shounen
Beautiful Bones -Sakurako's Investigation-,Finished Airing,12.0,R - 17+ (violence & profanity),2310.0,1180,227034,1017,7.42,93996.0,"Drama, Mystery, Suspense",,
Magical Girl Lyrical Nanoha A's,Finished Airing,13.0,PG-13 - Teens 13 or older,754.0,2882,68230,1017,7.95,35055.0,"Action, Comedy, Drama",Mahou Shoujo,
Ron Kamonohashi's Forbidden Deductions,Finished Airing,13.0,PG-13 - Teens 13 or older,2018.0,1642,155115,1016,7.5,54565.0,"Comedy, Mystery","Adult Cast, Detective",Shounen
The Betrayal Knows My Name,Finished Airing,24.0,R - 17+ (violence & profanity),3503.0,2189,105718,1014,7.19,39382.0,"Adventure, Boys Love, Drama, Supernatural","Mythology, Reincarnation",Shoujo
The Reincarnation of the Strongest Exorcist in Another World,Finished Airing,13.0,PG-13 - Teens 13 or older,3932.0,1039,255781,1012,7.11,131993.0,"Action, Adventure, Fantasy","Isekai, Reincarnation",
Saint Seiya: The Lost Canvas,Finished Airing,13.0,PG-13 - Teens 13 or older,691.0,2097,113602,1012,7.99,62336.0,"Action, Adventure, Fantasy","Historical, Mythology",Shounen
Durarara!! x2 Shou,Finished Airing,12.0,R - 17+ (violence & profanity),723.0,485,503735,1009,7.97,258724.0,"Action, Mystery, Supernatural",,
Love of Kill,Finished Airing,12.0,R - 17+ (violence & profanity),4951.0,1392,188125,1008,6.9,68579.0,"Action, Romance","Adult Cast, Organized Crime",Josei
"The Fruit of Evolution: Before I Knew It, My Life Had It Made",Finished Airing,12.0,PG-13 - Teens 13 or older,9202.0,1161,230471,1003,6.17,111615.0,"Adventure, Fantasy, Romance","Harem, Isekai",
Golden Kamuy Season 2,Finished Airing,12.0,R - 17+ (violence & profanity),354.0,1188,225137,1000,8.24,122626.0,"Action, Adventure","Adult Cast, Historical, Military",Seinen
Polar Bear Cafe,Finished Airing,50.0,G - All Ages,864.0,2273,100290,996,7.89,24598.0,Slice of Life,"Anthropomorphic, Iyashikei, Workplace",Josei
RahXephon,Finished Airing,26.0,PG-13 - Teens 13 or older,2540.0,1946,124984,994,7.37,44564.0,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi, Suspense","Mecha, Music, Psychological",
Boruto: Naruto the Movie,Finished Airing,1.0,PG-13 - Teens 13 or older,2510.0,506,485741,992,7.38,311775.0,"Action, Adventure, Fantasy",Martial Arts,Shounen
Persona 5 the Animation,Finished Airing,26.0,R - 17+ (violence & profanity),7617.0,977,271827,992,6.44,104586.0,Action,"School, Super Power",
,Finished Airing,13.0,PG-13 - Teens 13 or older,367.0,4065,36205,991,8.23,17211.0,Drama,Music,
Please Teacher!,Finished Airing,12.0,PG-13 - Teens 13 or older,4044.0,1417,184496,990,7.09,97869.0,"Drama, Romance, Sci-Fi",School,
Motto To LOVE Ru,Finished Airing,12.0,R+ - Mild Nudity,3126.0,751,347196,988,7.26,197352.0,"Comedy, Romance, Sci-Fi, Ecchi","Harem, School",Shounen
The Kingdoms of Ruin,Finished Airing,12.0,R - 17+ (violence & profanity),8929.0,1233,215771,988,6.22,85218.0,"Action, Drama, Fantasy, Sci-Fi",Gore,Shounen
Shakugan no Shana: Season II,Finished Airing,24.0,PG-13 - Teens 13 or older,1838.0,845,315959,988,7.54,175370.0,"Action, Drama, Fantasy, Romance","School, Urban Fantasy",
Revue Starlight: The Movie,Finished Airing,1.0,PG-13 - Teens 13 or older,143.0,4878,24249,986,8.51,10413.0,Drama,"Music, Performing Arts, School",
Attack on Titan OAD,Finished Airing,3.0,R - 17+ (violence & profanity),864.0,501,491375,982,7.89,286535.0,"Action, Drama, Suspense","Gore, Survival",Shounen
Ascendance of a Bookworm Season 3,Finished Airing,10.0,PG-13 - Teens 13 or older,584.0,1436,180624,979,8.07,87813.0,Fantasy,"Isekai, Reincarnation",
YuruYuri: Happy Go Lily ♪♪,Finished Airing,12.0,PG-13 - Teens 13 or older,1033.0,1281,205997,977,7.81,116896.0,"Comedy, Girls Love","CGDCT, Gag Humor, School",
Puella Magi Madoka Magica the Movie Part 1: Beginnings,Finished Airing,1.0,PG-13 - Teens 13 or older,378.0,1254,210756,971,8.22,105756.0,"Drama, Suspense","Mahou Shoujo, Psychological",
Arpeggio of Blue Steel -Ars Nova-,Finished Airing,12.0,PG-13 - Teens 13 or older,2749.0,1642,154829,969,7.33,71057.0,"Action, Sci-Fi",,Seinen
Non Non Biyori Nonstop,Finished Airing,12.0,PG-13 - Teens 13 or older,254.0,1841,134789,969,8.35,51825.0,Slice of Life,"CGDCT, Iyashikei",Seinen
When Supernatural Battles Became Commonplace,Finished Airing,12.0,PG-13 - Teens 13 or older,4268.0,561,445222,964,7.04,204650.0,Comedy,"Harem, School, Super Power",
Shigurui: Death Frenzy,Finished Airing,12.0,R+ - Mild Nudity,2629.0,1873,130898,964,7.35,39153.0,"Action, Drama, Suspense","Adult Cast, Gore, Historical, Martial Arts, Psychological, Samurai",Seinen
"Hensuki: Are you willing to Fall in Love with a Pervert, as long as she's a Cutie?",Finished Airing,12.0,PG-13 - Teens 13 or older,7441.0,747,348975,964,6.47,168241.0,"Comedy, Romance, Ecchi","Harem, School",
To LOVE Ru Darkness 2,Finished Airing,12.0,R+ - Mild Nudity,2319.0,976,271904,963,7.42,141972.0,"Comedy, Romance, Sci-Fi, Ecchi","Harem, School",Shounen
A Certain Scientific Accelerator,Finished Airing,12.0,R - 17+ (violence & profanity),3370.0,1057,251468,963,7.21,104840.0,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",
Junjo Romantica 2,Finished Airing,12.0,PG-13 - Teens 13 or older,1397.0,1410,185719,962,7.67,109424.0,"Boys Love, Comedy, Drama",Adult Cast,
Sengoku Basara: Samurai Kings,Finished Airing,12.0,PG-13 - Teens 13 or older,2785.0,1556,167317,962,7.32,66797.0,"Action, Fantasy","Historical, Martial Arts, Samurai",
Berserk of Gluttony,Finished Airing,12.0,R - 17+ (violence & profanity),5847.0,1158,230712,961,6.73,115288.0,"Action, Adventure, Fantasy",,
"So, I Can't Play H!",Finished Airing,12.0,R+ - Mild Nudity,7033.0,571,437417,961,6.53,219494.0,"Comedy, Romance, Supernatural, Ecchi","Harem, School",
Canaan,Finished Airing,13.0,R - 17+ (violence & profanity),3390.0,1103,241310,960,7.21,89019.0,"Action, Mystery, Sci-Fi",Adult Cast,
Wind Breaker Season 2,Finished Airing,12.0,PG-13 - Teens 13 or older,1450.0,1475,177274,960,7.66,67072.0,Action,"Delinquents, School",
Wataten! an Angel Flew Down to Me,Finished Airing,12.0,PG-13 - Teens 13 or older,3169.0,1245,213522,959,7.25,87494.0,Comedy,"CGDCT, Otaku Culture",
Chillin' in Another World with Level 2 Super Cheat Powers,Finished Airing,12.0,PG-13 - Teens 13 or older,5358.0,1210,219975,956,6.82,111702.0,"Adventure, Fantasy, Romance",Isekai,
,Finished Airing,1.0,PG-13 - Teens 13 or older,57.0,2909,67434,955,8.72,30612.0,"Award Winning, Sports","School, Team Sports",Shounen
Honey and Clover II,Finished Airing,12.0,PG-13 - Teens 13 or older,437.0,1970,122851,954,8.18,55852.0,"Drama, Romance","Adult Cast, Love Polygon, Visual Arts",Josei
"Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",Finished Airing,1.0,PG-13 - Teens 13 or older,256.0,729,357440,954,8.35,213865.0,Drama,,
In the Land of Leadale,Finished Airing,12.0,PG-13 - Teens 13 or older,4715.0,1445,180174,953,6.95,88609.0,"Adventure, Comedy, Fantasy","Isekai, Reincarnation",
Wagnaria!!3,Finished Airing,13.0,PG-13 - Teens 13 or older,754.0,1034,258963,953,7.95,132366.0,"Comedy, Romance","Love Status Quo, Workplace",Seinen
Parallel World Pharmacy,Finished Airing,12.0,PG-13 - Teens 13 or older,3025.0,1049,253805,952,7.27,128042.0,Fantasy,"Isekai, Medical, Reincarnation",
,Finished Airing,12.0,PG-13 - Teens 13 or older,2662.0,840,317349,950,7.35,141600.0,"Action, Adventure, Sci-Fi",,
Battle Game in 5 Seconds,Finished Airing,12.0,R - 17+ (violence & profanity),5716.0,1172,228353,950,6.75,108116.0,"Action, Suspense","High Stakes Game, Strategy Game, Super Power, Survival",
Tsukimonogatari,Finished Airing,4.0,R - 17+ (violence & profanity),562.0,576,435160,947,8.08,246841.0,"Comedy, Mystery, Supernatural, Ecchi",Vampire,
Uzaki-chan Wants to Hang Out! Season 2,Finished Airing,13.0,PG-13 - Teens 13 or older,3244.0,1107,241203,944,7.24,92610.0,"Comedy, Romance","Adult Cast, Love Status Quo",
Jellyfish Can't Swim in the Night,Finished Airing,12.0,PG-13 - Teens 13 or older,1209.0,1960,124384,942,7.75,46958.0,Drama,Music,
Bludgeoning Angel Dokuro-chan,Finished Airing,4.0,R - 17+ (violence & profanity),7020.0,1248,212196,941,6.53,114827.0,"Comedy, Supernatural, Ecchi","Gag Humor, Gore",
Handa-kun,Finished Airing,12.0,PG-13 - Teens 13 or older,2701.0,818,321805,940,7.34,142761.0,Comedy,"School, Visual Arts",Shounen
,Finished Airing,6.0,Rx - Hentai,,2993,63437,939,7.55,30169.0,Hentai,,
Gintama. Slip Arc,Finished Airing,13.0,PG-13 - Teens 13 or older,140.0,1237,215183,939,8.51,109025.0,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen
Mobile Suit Gundam: The Origin,Finished Airing,6.0,R+ - Mild Nudity,269.0,2600,81264,937,8.32,34493.0,"Action, Sci-Fi","Mecha, Military, Space",Shounen
Blade Dance of the Elementalers,Finished Airing,12.0,PG-13 - Teens 13 or older,6278.0,681,378946,936,6.66,191898.0,"Action, Comedy, Fantasy, Romance, Ecchi","Harem, School",
,Finished Airing,178.0,PG - Children,2088.0,3544,46698,935,7.48,15441.0,Slice of Life,"Idols (Female), Music, School",
,Finished Airing,4.0,Rx - Hentai,,3121,58931,935,7.7,28546.0,Hentai,,
Takopi's Original Sin,Currently Airing,6.0,R - 17+ (violence & profanity),16.0,2133,111246,933,8.94,21202.0,"Drama, Sci-Fi",Psychological,Shounen
Anne of Green Gables,Finished Airing,50.0,G - All Ages,974.0,3392,50398,929,7.84,22664.0,Drama,Historical,
Yakitate!! Japan,Finished Airing,69.0,PG-13 - Teens 13 or older,832.0,2237,103077,929,7.91,42624.0,"Comedy, Gourmet",,Shounen
Backflip!!,Finished Airing,12.0,PG-13 - Teens 13 or older,2051.0,2117,112303,925,7.49,41240.0,Sports,"Performing Arts, School",
Children of the Sea,Finished Airing,1.0,PG-13 - Teens 13 or older,3476.0,2006,120762,923,7.19,40314.0,"Award Winning, Drama, Mystery, Supernatural",,Seinen
Aria the Scarlet Ammo,Finished Airing,12.0,PG-13 - Teens 13 or older,5604.0,664,387979,922,6.77,200246.0,"Action, Comedy, Romance, Ecchi","Harem, School",
Magia Record: Puella Magi Madoka Magica Side Story,Finished Airing,13.0,PG-13 - Teens 13 or older,5324.0,1517,172191,921,6.83,60809.0,"Drama, Suspense","Mahou Shoujo, Psychological",
The Law of Ueki,Finished Airing,51.0,PG-13 - Teens 13 or older,1298.0,1967,122870,919,7.71,50322.0,"Action, Adventure, Supernatural",Super Power,Shounen
Outbreak Company,Finished Airing,12.0,PG-13 - Teens 13 or older,3646.0,689,376498,919,7.16,185657.0,"Comedy, Fantasy","Harem, Isekai, Otaku Culture, Parody",
Fuuka,Finished Airing,12.0,R+ - Mild Nudity,7165.0,863,311383,918,6.51,153509.0,"Drama, Romance, Ecchi","Love Polygon, Music, School",Shounen
Gachiakuta,Currently Airing,24.0,PG-13 - Teens 13 or older,550.0,1479,176946,913,8.09,19204.0,"Action, Fantasy",,Shounen
SSSS.Dynazenon,Finished Airing,12.0,PG-13 - Teens 13 or older,2299.0,1745,143038,909,7.43,46913.0,"Action, Sci-Fi",Mecha,
2.5 Dimensional Seduction,Finished Airing,24.0,PG-13 - Teens 13 or older,2275.0,1769,140814,908,7.43,44746.0,"Comedy, Ecchi","Harem, Otaku Culture, School",Shounen
Dr. Stone: Ryusui,Finished Airing,1.0,PG-13 - Teens 13 or older,503.0,746,350912,908,8.13,200745.0,"Adventure, Comedy, Sci-Fi",,Shounen
Symphogear XV,Finished Airing,13.0,PG-13 - Teens 13 or older,425.0,3730,42837,907,8.19,15368.0,"Action, Sci-Fi","Idols (Female), Music",
The Kubikiri Cycle,Finished Airing,8.0,R - 17+ (violence & profanity),1230.0,2139,110463,906,7.74,35172.0,"Drama, Mystery, Supernatural",Adult Cast,
Fate/stay night: Unlimited Blade Works,Finished Airing,1.0,R - 17+ (violence & profanity),2488.0,1125,238014,906,7.39,126936.0,"Action, Fantasy",Urban Fantasy,
Kingdom: Season 2,Finished Airing,39.0,R - 17+ (violence & profanity),296.0,1764,140289,905,8.3,68673.0,Action,"Historical, Military",Seinen
Peach Girl: Super Pop Love Hurricane,Finished Airing,25.0,PG-13 - Teens 13 or older,4813.0,2126,110717,905,6.92,54240.0,"Drama, Romance","Love Polygon, School",Shoujo
Patlabor 2: The Movie,Finished Airing,1.0,PG-13 - Teens 13 or older,667.0,3689,43548,903,8.01,18731.0,"Action, Award Winning, Drama, Mystery, Sci-Fi","Detective, Mecha, Military",
Danganronpa 3: The End of Hope's Peak High School - Hope Arc,Finished Airing,1.0,R - 17+ (violence & profanity),2493.0,1376,190867,902,7.39,112325.0,"Action, Horror, Mystery, Suspense","High Stakes Game, Psychological, Survival",
True Tears,Finished Airing,13.0,PG-13 - Teens 13 or older,3107.0,1196,222668,901,7.26,103160.0,"Drama, Romance","Love Polygon, School",
Getbackers,Finished Airing,49.0,PG-13 - Teens 13 or older,1740.0,1923,126468,900,7.57,55034.0,"Action, Mystery, Supernatural",Super Power,Shounen
Rurouni Kenshin,Finished Airing,24.0,R - 17+ (violence & profanity),1536.0,1734,144241,898,7.63,50240.0,Action,"Historical, Samurai",Shounen
World Break: Aria of Curse for a Holy Swordsman,Finished Airing,12.0,R - 17+ (violence & profanity),5720.0,803,327781,897,6.75,165872.0,"Action, Fantasy, Romance","Harem, Reincarnation, School, Urban Fantasy",
High School Fleet,Finished Airing,12.0,PG-13 - Teens 13 or older,2917.0,2145,109870,896,7.3,45958.0,Action,"Military, School",
Samurai Flamenco,Finished Airing,22.0,R - 17+ (violence & profanity),5008.0,1828,135347,896,6.88,49016.0,"Action, Comedy","Adult Cast, Parody, Super Power",
,Finished Airing,2.0,R+ - Mild Nudity,,2122,111766,895,6.07,62527.0,"Boys Love, Comedy, Erotica","Love Polygon, School",
KINMOZA!,Finished Airing,12.0,PG-13 - Teens 13 or older,3284.0,1390,188483,895,7.23,71391.0,Slice of Life,"CGDCT, School",Seinen
Sunday Without God,Finished Airing,12.0,R - 17+ (violence & profanity),3041.0,1169,228499,894,7.27,95781.0,"Adventure, Drama, Fantasy, Mystery",,
Memories,Finished Airing,3.0,PG-13 - Teens 13 or older,1269.0,1682,149613,894,7.72,53091.0,"Award Winning, Drama, Horror, Sci-Fi, Suspense","Military, Psychological, Space",
Sailor Moon R,Finished Airing,43.0,PG-13 - Teens 13 or older,1242.0,1554,167497,891,7.73,91002.0,Romance,Mahou Shoujo,Shoujo
Gunbuster 2,Finished Airing,6.0,R+ - Mild Nudity,1659.0,2572,82641,891,7.59,38088.0,"Action, Award Winning, Comedy, Drama, Sci-Fi","Mecha, Space",
Toriko,Finished Airing,147.0,PG-13 - Teens 13 or older,1957.0,1816,135977,889,7.51,53408.0,"Action, Adventure, Comedy, Fantasy, Gourmet",,Shounen
Boogiepop and Others,Finished Airing,18.0,R - 17+ (violence & profanity),4211.0,1119,239422,889,7.06,71069.0,"Avant Garde, Drama, Horror, Mystery, Supernatural, Suspense",Psychological,
Heaven's Lost Property Forte,Finished Airing,12.0,PG-13 - Teens 13 or older,2306.0,891,300256,889,7.42,171968.0,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Harem,Shounen
Natsume's Book of Friends Season 5,Finished Airing,11.0,PG-13 - Teens 13 or older,115.0,1318,200189,889,8.56,81189.0,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo
Noir,Finished Airing,26.0,PG-13 - Teens 13 or older,3045.0,2012,119729,887,7.27,40994.0,"Action, Drama, Mystery",Organized Crime,
Chaika -The Coffin Princess-,Finished Airing,12.0,R - 17+ (violence & profanity),3404.0,649,396633,886,7.21,179219.0,"Action, Adventure, Fantasy, Romance",,
Baki the Grappler,Finished Airing,24.0,PG-13 - Teens 13 or older,2219.0,1612,158795,886,7.45,81642.0,Sports,"Combat Sports, Gore",Shounen
New Game!!,Finished Airing,12.0,PG-13 - Teens 13 or older,1353.0,1000,267249,884,7.69,137095.0,Comedy,"Adult Cast, CGDCT, Otaku Culture, Workplace",
Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,Finished Airing,12.0,PG-13 - Teens 13 or older,8335.0,868,310023,883,6.32,153456.0,"Adventure, Comedy, Fantasy",,
Dragon Ball Z Kai: The Final Chapters,Finished Airing,61.0,PG-13 - Teens 13 or older,1280.0,1265,207905,881,7.72,119048.0,"Action, Adventure, Comedy, Fantasy",Martial Arts,Shounen
Steins;Gate: Egoistic Poriomania,Finished Airing,1.0,PG-13 - Teens 13 or older,305.0,535,460888,879,8.29,288788.0,"Comedy, Sci-Fi",Time Travel,
Re-Main,Finished Airing,12.0,PG-13 - Teens 13 or older,3488.0,1718,145546,879,7.19,54976.0,Sports,"School, Team Sports",
Dragon Ball Daima,Finished Airing,20.0,PG-13 - Teens 13 or older,1533.0,2015,120192,878,7.63,51738.0,"Action, Adventure, Comedy, Fantasy",Martial Arts,Shounen
Ghost Hound,Finished Airing,22.0,PG-13 - Teens 13 or older,2450.0,1610,159021,877,7.39,46645.0,"Mystery, Supernatural, Suspense",Psychological,
Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,Finished Airing,12.0,PG-13 - Teens 13 or older,3827.0,1398,187019,877,7.13,97330.0,Fantasy,"Isekai, School, Villainess",
"Clannad: Another World, Tomoyo Chapter",Finished Airing,1.0,PG-13 - Teens 13 or older,792.0,850,314184,874,7.92,207741.0,"Drama, Romance",School,
The Dungeon of Black Company,Finished Airing,12.0,PG-13 - Teens 13 or older,3320.0,1085,245634,874,7.22,109946.0,"Comedy, Fantasy",Isekai,
Undead Murder Farce,Finished Airing,13.0,R - 17+ (violence & profanity),925.0,1503,173807,873,7.86,72085.0,"Fantasy, Mystery","Adult Cast, Detective, Historical, Urban Fantasy, Vampire",
Is the Order a Rabbit??,Finished Airing,12.0,PG-13 - Teens 13 or older,1135.0,1782,138846,871,7.77,62586.0,Slice of Life,"CGDCT, Iyashikei, Workplace",
Buso Renkin,Finished Airing,26.0,PG-13 - Teens 13 or older,2986.0,1470,177107,870,7.28,82019.0,"Action, Supernatural",School,Shounen
Hi Score Girl II,Finished Airing,9.0,PG-13 - Teens 13 or older,778.0,1712,146566,870,7.94,85853.0,"Comedy, Romance","Love Polygon, School, Video Game",Seinen
The Qwaser of Stigmata,Finished Airing,24.0,R+ - Mild Nudity,8334.0,759,343951,868,6.31,136204.0,"Action, Fantasy, Ecchi","Harem, School, Urban Fantasy",Seinen
House of Five Leaves,Finished Airing,12.0,PG-13 - Teens 13 or older,1176.0,2313,97910,867,7.75,28955.0,Drama,"Adult Cast, Historical, Samurai",Seinen
BanG Dream!,Finished Airing,13.0,PG-13 - Teens 13 or older,4515.0,2255,101748,867,6.99,41987.0,,"CGDCT, Music, School",
,Finished Airing,50.0,PG-13 - Teens 13 or older,3116.0,1258,209982,866,7.26,92080.0,Sports,"School, Team Sports",Shounen
Slayers Next,Finished Airing,26.0,PG-13 - Teens 13 or older,664.0,2745,74211,865,8.01,39175.0,"Action, Adventure, Comedy, Fantasy",,
La corda d'oro: primo passo,Finished Airing,25.0,PG-13 - Teens 13 or older,2400.0,2266,100568,864,7.4,50066.0,Romance,"Music, Reverse Harem, School",Josei
Scissor Seven (2021),Finished Airing,10.0,R - 17+ (violence & profanity),200.0,2662,78261,864,8.42,42823.0,"Action, Adventure, Comedy, Drama, Mystery","Martial Arts, Super Power",
Desert Punk,Finished Airing,24.0,R - 17+ (violence & profanity),2574.0,1697,147242,864,7.36,57099.0,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,Seinen
Silver Fang,Finished Airing,21.0,PG-13 - Teens 13 or older,656.0,4478,29325,863,8.02,12445.0,"Action, Adventure, Drama",Anthropomorphic,Shounen
,Finished Airing,1.0,PG-13 - Teens 13 or older,234.0,1971,123253,863,8.37,46642.0,"Drama, Romance",,Shoujo
Ascendance of a Bookworm Season 2,Finished Airing,12.0,PG-13 - Teens 13 or older,576.0,1123,238575,858,8.08,139912.0,Fantasy,"Isekai, Reincarnation",
The Demon Sword Master of Excalibur Academy,Finished Airing,12.0,R - 17+ (violence & profanity),9030.0,1577,164826,857,6.2,65393.0,"Action, Fantasy","Harem, Reincarnation, School",
The Royal Tutor,Finished Airing,12.0,PG-13 - Teens 13 or older,2218.0,1663,152297,856,7.45,67486.0,Comedy,Historical,Shounen
,Finished Airing,25.0,PG-13 - Teens 13 or older,1098.0,1578,164203,853,7.79,76468.0,Sports,School,Shounen
A Certain Magical Index III,Finished Airing,26.0,PG-13 - Teens 13 or older,5323.0,1003,266602,850,6.83,107031.0,"Action, Fantasy, Sci-Fi","Super Power, Urban Fantasy",
Mushoku Tensei: Jobless Reincarnation Season 3,Not yet aired,0.0,R - 17+ (violence & profanity),,1876,131279,850,,,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",
Attack on Titan: Junior High,Finished Airing,12.0,PG-13 - Teens 13 or older,3365.0,948,279275,847,7.21,154244.0,Comedy,"Parody, School",Shounen
Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,Finished Airing,12.0,PG-13 - Teens 13 or older,3911.0,1334,197000,847,7.12,89418.0,"Adventure, Comedy, Fantasy","Isekai, Magical Sex Shift, Parody",
Nekopara,Finished Airing,12.0,PG-13 - Teens 13 or older,5930.0,1420,184123,843,6.72,69541.0,Slice of Life,Anthropomorphic,
,Finished Airing,25.0,PG-13 - Teens 13 or older,2180.0,2320,97816,841,7.45,39235.0,Slice of Life,"School, Strategy Game",Seinen
Dimension W,Finished Airing,12.0,R - 17+ (violence & profanity),3590.0,871,308252,840,7.17,142965.0,"Action, Sci-Fi",,Seinen
Toward the Terra (TV),Finished Airing,24.0,PG-13 - Teens 13 or older,957.0,2950,65445,840,7.85,19347.0,"Action, Drama, Sci-Fi","Military, Space, Super Power",Shounen
Love Flops,Finished Airing,12.0,R+ - Mild Nudity,6022.0,1541,169580,839,6.7,64841.0,"Comedy, Romance, Sci-Fi, Ecchi","Harem, School",
Kokoro Connect OVA,Finished Airing,4.0,PG-13 - Teens 13 or older,818.0,987,269393,837,7.91,174951.0,"Drama, Romance, Supernatural",School,
I Can't Understand What My Husband Is Saying,Finished Airing,13.0,PG-13 - Teens 13 or older,3067.0,709,366167,835,7.27,191105.0,"Comedy, Romance","Adult Cast, Otaku Culture",
,Finished Airing,12.0,PG-13 - Teens 13 or older,1239.0,1804,137583,835,7.74,50591.0,"Adventure, Comedy, Fantasy, Gourmet",,
Darker Than Black: Gemini of the Meteor OVAs,Finished Airing,4.0,R - 17+ (violence & profanity),850.0,1002,265274,834,7.9,145888.0,"Action, Mystery",Super Power,
Vampire Vixen,Finished Airing,1.0,Rx - Hentai,,2830,70411,834,7.4,40214.0,"Supernatural, Hentai",,
Yuuna and the Haunted Hot Springs,Finished Airing,12.0,R+ - Mild Nudity,4606.0,825,319985,830,6.97,133794.0,"Comedy, Romance, Supernatural, Ecchi",Harem,Shounen
The Unwanted Undead Adventurer,Finished Airing,12.0,PG-13 - Teens 13 or older,2307.0,1355,193614,830,7.43,101639.0,"Action, Adventure, Fantasy",,
The Misfit of Demon King Academy II Part 2,Finished Airing,12.0,R - 17+ (violence & profanity),7565.0,1372,191223,829,6.45,46808.0,"Action, Fantasy","Reincarnation, School",
Monogatari Series: Off & Monster Season,Finished Airing,14.0,R - 17+ (violence & profanity),76.0,2410,91947,827,8.66,33291.0,"Comedy, Mystery, Supernatural",Vampire,
Obey Me!,Finished Airing,12.0,PG-13 - Teens 13 or older,3870.0,3509,47647,827,7.13,16097.0,"Comedy, Fantasy",Mythology,
Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,Finished Airing,3.0,R - 17+ (violence & profanity),333.0,2280,99947,826,8.26,46250.0,"Action, Adventure, Drama, Fantasy, Romance",,Shounen
Belladonna of Sadness,Finished Airing,1.0,R+ - Mild Nudity,3468.0,3177,56837,824,7.19,18590.0,"Avant Garde, Drama",Historical,
Hana Yori Dango,Finished Airing,51.0,PG-13 - Teens 13 or older,1738.0,2951,65385,824,7.57,26525.0,"Drama, Romance","Love Polygon, School",Shoujo
The Iceblade Sorcerer Shall Rule the World,Finished Airing,12.0,PG-13 - Teens 13 or older,8128.0,1313,201283,823,6.36,96136.0,"Action, Fantasy",School,
Kämpfer,Finished Airing,12.0,PG-13 - Teens 13 or older,8100.0,894,299026,823,6.35,149801.0,"Action, Comedy, Romance, Ecchi","Harem, Magical Sex Shift, School",
Aria the Natural,Finished Airing,26.0,G - All Ages,465.0,2557,83624,821,8.16,31331.0,"Sci-Fi, Slice of Life",Iyashikei,Shounen
Moomin,Finished Airing,78.0,G - All Ages,320.0,4306,31676,820,8.27,13382.0,"Adventure, Fantasy, Slice of Life",Iyashikei,Kids
Mobile Suit Gundam: The Witch from Mercury Season 2,Finished Airing,12.0,R - 17+ (violence & profanity),872.0,2243,103336,819,7.89,58061.0,"Action, Sci-Fi","Mecha, School, Space",
World Trigger 2nd Season,Finished Airing,12.0,PG-13 - Teens 13 or older,627.0,1556,168108,819,8.04,64900.0,"Action, Sci-Fi",,Shounen
Horizon in the Middle of Nowhere,Finished Airing,13.0,PG-13 - Teens 13 or older,4477.0,1401,186528,819,7.0,67116.0,"Action, Fantasy, Sci-Fi",,
No Longer Allowed in Another World,Finished Airing,12.0,PG-13 - Teens 13 or older,3098.0,1250,211937,819,7.26,86908.0,"Adventure, Comedy, Fantasy","Isekai, Parody",
Electromagnetic Girlfriend,Finished Airing,2.0,R - 17+ (violence & profanity),2092.0,1656,153009,817,7.48,68626.0,"Mystery, Suspense",School,
This Art Club Has a Problem!,Finished Airing,12.0,PG-13 - Teens 13 or older,3645.0,827,319500,816,7.16,135358.0,"Comedy, Romance","School, Visual Arts",Seinen
Go! Go! Loser Ranger!,Finished Airing,12.0,PG-13 - Teens 13 or older,2774.0,1427,183268,816,7.32,72606.0,"Action, Fantasy",Urban Fantasy,Shounen
The Vexations of a Shut-In Vampire Princess,Finished Airing,12.0,PG-13 - Teens 13 or older,3824.0,1958,124584,815,7.14,47042.0,"Comedy, Fantasy",Vampire,
School Rumble: 2nd Semester,Finished Airing,26.0,PG-13 - Teens 13 or older,723.0,1540,168867,815,7.97,94525.0,"Comedy, Romance","Gag Humor, Love Polygon, School",Shounen
Persona 3 the Movie: #4 Winter of Rebirth,Finished Airing,1.0,R - 17+ (violence & profanity),622.0,2590,81989,815,8.05,39386.0,"Action, Supernatural",Super Power,
The Seven Deadly Sins: Signs of Holy War,Finished Airing,4.0,PG-13 - Teens 13 or older,4691.0,292,752399,814,6.95,451445.0,"Action, Adventure, Fantasy",,Shounen
Hetalia World Series,Finished Airing,48.0,PG-13 - Teens 13 or older,2289.0,2103,113288,814,7.43,58624.0,Comedy,"Anthropomorphic, Gag Humor, Historical, Parody",
