title_english,status,episodes,rating,rank,popularity,favorites,score,scored_by_members,action,adventure,avant_garde,award_winning,boys_love,comedy,drama,ecchi,erotica,fantasy,girls_love,gourmet,hentai,horror,mystery,romance,sci-fi,slice_of_life,sports,supernatural,suspense,theme_adult_cast,theme_anthropomorphic,theme_cgdct,theme_childcare,theme_combat_sports,theme_crossdressing,theme_delinquents,theme_detective,theme_educational,theme_gag_humor,theme_gore,theme_harem,theme_high_stakes_game,theme_historical,theme_idols_(female),theme_idols_(male),theme_isekai,theme_iyashikei,theme_love_polygon,theme_love_status_quo,theme_magical_sex_shift,theme_mahou_shoujo,theme_martial_arts,theme_mecha,theme_medical,theme_military,theme_music,theme_mythology,theme_organized_crime,theme_otaku_culture,theme_parody,theme_performing_arts,theme_pets,theme_psychological,theme_racing,theme_reincarnation,theme_reverse_harem,theme_samurai,theme_school,theme_showbiz,theme_space,theme_strategy_game,theme_super_power,theme_survival,theme_team_sports,theme_time_travel,theme_urban_fantasy,theme_vampire,theme_video_game,theme_villainess,theme_visual_arts,theme_workplace,log_popularity,log_episodes
Your Lie in April,0,22.0,PG-13,80.0,24,88494,8.64,1881475.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2188758248682006,3.1354942159291497
Cowboy Bebop,0,26.0,R,47.0,42,86816,8.75,1502107.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7612001156935624,3.295836866004329
Naruto,0,220.0,PG-13,674.0,9,83595,8.01,2538490.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585092994046,5.3981627015177525
Gurren Lagann,0,27.0,PG-13,80.0,67,81960,8.64,1323346.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.219507705176107,3.332204510175204
Bleach,0,366.0,PG-13,717.0,35,79473,7.97,1659526.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58351893845611,5.905361848054571
Code Geass: Lelouch of the Rebellion R2,0,25.0,R,21.0,47,79055,8.91,1568420.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.871201010907891,3.258096538021482
Haikyu!!,0,25.0,PG-13,185.0,36,76685,8.44,1698729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6109179126442243,3.258096538021482
Frieren: Beyond Journey's End,0,28.0,PG-13,1.0,137,72720,9.3,935770.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.927253685157205,3.367295829986474
Re:ZERO -Starting Life in Another World-,0,25.0,R,363.0,23,72572,8.24,1932854.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.1780538303479458,3.258096538021482
Clannad: After Story,0,24.0,PG-13,16.0,120,72165,8.93,966452.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795790545596741,3.2188758248682006
